,OCCUR_DATE,BORO,0
310,2019-07-21,Bx,1
311,2019-07-21,M,1
312,2019-07-22,Bx,1
313,2019-07-23,Bk,2
314,2019-07-24,Bk,2
315,2019-07-24,Bx,2
316,2019-07-24,Q,1
317,2019-07-25,Bk,1
318,2019-07-25,Q,4
319,2019-07-26,Bk,2
320,2019-07-27,Bk,12
321,2019-07-27,M,1
322,2019-07-28,Bk,1
323,2019-07-28,Bx,6
324,2019-07-28,M,1
325,2019-07-28,Q,1
326,2019-07-29,Bk,1
327,2019-07-29,Bx,3
328,2019-07-30,M,1
329,2019-07-30,Q,1
330,2019-07-31,Q,1
331,2019-08-03,Bk,1
332,2019-08-03,Bx,2
333,2019-08-03,M,1
334,2019-08-04,Bk,2
335,2019-08-04,M,2
336,2019-08-05,Bk,5
337,2019-08-05,Bx,1
338,2019-08-05,Q,1
339,2019-08-06,Bk,1
340,2019-08-06,Bx,1
341,2019-08-06,SI,1
342,2019-08-08,Bk,1
343,2019-08-08,SI,1
344,2019-08-10,Bk,1
345,2019-08-10,Bx,2
346,2019-08-10,Q,1
347,2019-08-11,Bk,6
348,2019-08-11,Bx,2
349,2019-08-11,M,1
350,2019-08-11,Q,1
351,2019-08-12,Bk,2
352,2019-08-12,M,2
353,2019-08-13,Bk,2
354,2019-08-13,Bx,1
355,2019-08-13,M,1
356,2019-08-13,Q,1
357,2019-08-14,Bk,2
358,2019-08-15,Bx,1
359,2019-08-15,M,1
360,2019-08-16,Bk,2
361,2019-08-16,Bx,2
362,2019-08-16,M,1
363,2019-08-17,Bk,1
364,2019-08-17,Bx,1
365,2019-08-18,Bk,2
366,2019-08-18,Bx,1
367,2019-08-19,Bx,1
368,2019-08-20,Bk,2
369,2019-08-20,Q,2
370,2019-08-21,Bk,1
371,2019-08-21,Bx,1
372,2019-08-21,SI,1
373,2019-08-22,Bx,2
374,2019-08-22,M,1
375,2019-08-22,Q,1
376,2019-08-23,Bk,1
377,2019-08-23,Bx,2
378,2019-08-23,Q,1
379,2019-08-24,Bx,1
380,2019-08-24,M,1
381,2019-08-24,Q,1
382,2019-08-25,Bk,2
383,2019-08-25,Bx,1
384,2019-08-25,Q,3
385,2019-08-26,Bx,1
386,2019-08-26,M,1
387,2019-08-26,Q,2
388,2019-08-27,Bk,1
389,2019-08-27,Bx,2
390,2019-08-27,Q,1
391,2019-08-28,Bx,1
392,2019-08-28,M,1
393,2019-08-29,Q,2
394,2019-08-30,Bk,3
395,2019-08-30,Bx,1
396,2019-08-30,Q,3
397,2019-08-31,Bk,2
398,2019-08-31,Bx,1
399,2019-08-31,Q,1
400,2019-09-01,Q,1
401,2019-09-02,Bk,6
402,2019-09-02,Bx,3
403,2019-09-02,Q,4
404,2019-09-02,SI,1
405,2019-09-04,Bk,2
406,2019-09-04,Bx,1
407,2019-09-05,Bk,1
408,2019-09-06,Bk,3
409,2019-09-07,M,1
410,2019-09-08,Q,1
411,2019-09-10,M,1
412,2019-09-11,Bk,2
413,2019-09-11,Q,1
414,2019-09-12,Bk,2
415,2019-09-12,Bx,1
416,2019-09-12,M,1
417,2019-09-13,Bk,1
418,2019-09-13,Bx,1
419,2019-09-14,Bk,1
420,2019-09-14,M,1
421,2019-09-15,Bk,1
422,2019-09-15,Bx,2
423,2019-09-15,M,1
424,2019-09-16,Bk,1
425,2019-09-16,M,1
426,2019-09-17,Bx,1
427,2019-09-17,Q,1
428,2019-09-17,SI,1
429,2019-09-18,Bx,1
430,2019-09-18,M,1
431,2019-09-21,Bk,3
432,2019-09-21,Q,1
433,2019-09-22,Bk,1
434,2019-09-22,Bx,2
435,2019-09-22,Q,2
436,2019-09-23,Bk,3
437,2019-09-23,Bx,1
438,2019-09-23,M,3
439,2019-09-24,Bk,2
440,2019-09-24,Bx,2
441,2019-09-25,Bk,1
442,2019-09-26,Bk,1
443,2019-09-26,Bx,1
444,2019-09-26,M,1
445,2019-09-27,Bk,4
446,2019-09-27,Q,5
447,2019-09-28,Bx,1
448,2019-09-29,Bx,2
449,2019-09-29,SI,1
450,2019-09-30,M,2
451,2019-10-01,Q,1
452,2019-10-02,Bk,2
453,2019-10-02,Bx,1
454,2019-10-03,Bk,3
455,2019-10-03,M,1
456,2019-10-04,Bx,2
457,2019-10-05,Bx,3
458,2019-10-05,M,1
459,2019-10-06,Bk,4
460,2019-10-06,M,1
461,2019-10-07,Bk,1
462,2019-10-07,Bx,1
463,2019-10-09,Q,2
464,2019-10-10,Bk,1
465,2019-10-11,M,1
466,2019-10-11,Q,1
467,2019-10-12,Bk,12
468,2019-10-12,Bx,1
469,2019-10-12,M,2
470,2019-10-13,Bk,2
471,2019-10-13,M,1
472,2019-10-15,Bk,1
473,2019-10-17,Q,1
474,2019-10-18,M,2
475,2019-10-19,Q,1
476,2019-10-21,M,1
477,2019-10-22,Q,1
478,2019-10-23,M,1
479,2019-10-23,Q,1
480,2019-10-24,Bk,1
481,2019-10-24,Bx,1
482,2019-10-24,SI,1
483,2019-10-25,Bx,5
484,2019-10-25,Q,1
485,2019-10-26,Bk,2
486,2019-10-26,Bx,1
487,2019-10-26,Q,1
488,2019-10-27,Bk,2
489,2019-10-27,Bx,1
490,2019-10-28,Bk,1
491,2019-10-28,Bx,1
492,2019-10-28,M,1
493,2019-10-28,Q,1
494,2019-10-29,Bk,1
495,2019-10-29,Q,1
496,2019-10-30,Bx,1
497,2019-10-31,Bk,1
498,2019-10-31,Bx,3
499,2019-11-01,Bx,1
500,2019-11-02,Bk,2
501,2019-11-02,Bx,1
