INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
201765788,2019-08-29,20:45:00,QUEENS,103,0,,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK,1040339.0,195947.0,40.70433647000005,-73.79770578099993,POINT (-73.79770578099993 40.704336470000044)
195397264,2019-03-31,03:30:00,BRONX,40,0,,False,25-44,M,BLACK,25-44,M,BLACK,1004261.25,234901.015625,40.81141039400006,-73.92771100999995,POINT (-73.92771100999994 40.81141039400006)
199247701,2019-07-03,00:04:00,QUEENS,114,2,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,18-24,M,BLACK,999925.3125,214506.8125,40.755442491000046,-73.94342211899993,POINT (-73.94342211899993 40.75544249100005)
196193415,2019-04-18,23:24:00,BROOKLYN,75,0,,False,25-44,M,BLACK,25-44,M,BLACK,1018746.8125,183639.6875,40.67066626800005,-73.87564499499997,POINT (-73.87564499499996 40.67066626800005)
194269158,2019-03-04,22:22:00,BROOKLYN,81,2,MULTI DWELL - PUBLIC HOUS,False,<18,M,BLACK,<18,M,BLACK,1004899.0,187202.1875,40.680487654000046,-73.92555358299995,POINT (-73.92555358299995 40.680487654000046)
204398628,2019-10-29,20:22:00,BROOKLYN,84,0,,False,<18,M,BLACK,25-44,M,BLACK,988740.3125,194815.46875,40.701407302000064,-73.98380700399997,POINT (-73.98380700399997 40.701407302000064)
201291294,2019-08-16,03:06:00,BROOKLYN,75,0,,False,18-24,M,BLACK,18-24,F,BLACK,1017165.0625,183046.625,40.66904446700005,-73.88134988399997,POINT (-73.88134988399997 40.66904446700005)
195396615,2019-03-30,21:30:00,BROOKLYN,70,0,GROCERY/BODEGA,False,,,,<18,M,BLACK,994870.75,177891.96875,40.65495088600005,-73.96172407399996,POINT (-73.96172407399996 40.65495088600005)
193267668,2019-02-06,22:26:00,BROOKLYN,81,0,,True,,,,18-24,M,BLACK,1004227.625,186741.578125,40.67922492600008,-73.92797552099995,POINT (-73.92797552099995 40.679224926000074)
193118591,2019-02-03,12:43:00,QUEENS,115,1,,True,18-24,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1018475.0,211969.0,40.748424502000034,-73.87648084299997,POINT (-73.87648084299997 40.748424502000034)
205748548,2019-11-27,22:24:00,BRONX,41,0,,False,18-24,M,WHITE HISPANIC,18-24,M,BLACK,1013879.0,239551.0,40.82414626900004,-73.89294648299993,POINT (-73.89294648299995 40.824146269000046)
203676928,2019-10-12,06:55:00,BROOKLYN,77,0,BAR/NIGHT CLUB,False,45-64,M,BLACK,25-44,F,BLACK,1003550.0625,185644.921875,40.67621635600005,-73.93042149699994,POINT (-73.93042149699994 40.676216356000054)
197665544,2019-05-27,02:46:00,QUEENS,113,0,,False,,,,25-44,M,BLACK,1052435.0,194734.015625,40.70092218700006,-73.75409174199996,POINT (-73.75409174199996 40.70092218700006)
195396615,2019-03-30,21:30:00,BROOKLYN,70,0,GROCERY/BODEGA,False,,,,18-24,M,BLACK,994870.75,177891.96875,40.65495088600005,-73.96172407399996,POINT (-73.96172407399996 40.65495088600005)
200331333,2019-07-27,22:53:00,BROOKLYN,73,0,,False,18-24,M,BLACK,45-64,M,BLACK,1011786.0,178738.0,40.65723661300007,-73.90075779799997,POINT (-73.90075779799997 40.657236613000066)
192545750,2019-01-19,14:36:00,BRONX,43,0,,False,,,,25-44,M,BLACK,1017982.0625,240267.8125,40.82609899800008,-73.87811778599996,POINT (-73.87811778599996 40.82609899800008)
200995689,2019-08-11,02:47:00,BROOKLYN,75,0,MULTI DWELL - PUBLIC HOUS,False,,,,45-64,M,BLACK,1020214.0625,183053.265625,40.66905083400008,-73.870358889,POINT (-73.870358889 40.669050834000075)
203207191,2019-10-02,20:14:00,BRONX,44,0,,False,18-24,M,WHITE HISPANIC,<18,M,WHITE HISPANIC,1007885.375,246405.703125,40.84297851900004,-73.91457837499996,POINT (-73.91457837499996 40.84297851900004)
205862275,2019-12-01,01:07:00,QUEENS,114,0,,False,,,,18-24,M,BLACK,1000150.9375,215230.28125,40.75742782500004,-73.94260602599996,POINT (-73.94260602599996 40.75742782500004)
201851563,2019-08-30,19:15:00,BROOKLYN,67,0,,False,,,,25-44,M,WHITE HISPANIC,1004519.0,171743.0,40.63805647100003,-73.92697009899997,POINT (-73.92697009899996 40.63805647100003)
195700548,2019-04-07,15:27:00,QUEENS,105,0,,False,,,,45-64,M,BLACK,1056211.5,181212.421875,40.663778740000055,-73.74061624299996,POINT (-73.74061624299998 40.663778740000055)
198857665,2019-06-21,23:30:00,BRONX,40,2,MULTI DWELL - PUBLIC HOUS,False,,,,18-24,M,BLACK,1005529.8125,233942.734375,40.80877721400003,-73.92313138099996,POINT (-73.92313138099996 40.80877721400003)
199325323,2019-07-05,01:14:00,BRONX,48,0,PVT HOUSE,True,18-24,M,BLACK,25-44,M,BLACK HISPANIC,1016293.3125,250009.078125,40.85284220800003,-73.88417317899997,POINT (-73.88417317899996 40.85284220800003)
192258908,2019-01-13,22:11:00,QUEENS,113,0,,False,,,,25-44,M,BLACK,1051143.625,193462.890625,40.69744311400007,-73.75876169699995,POINT (-73.75876169699995 40.697443114000066)
206823156,2019-12-21,04:36:00,BRONX,44,0,,False,25-44,M,BLACK,45-64,M,BLACK,1004227.0,237571.640625,40.81874059000006,-73.92782678899994,POINT (-73.92782678899994 40.81874059000006)
200056613,2019-07-21,22:33:00,BRONX,45,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,25-44,M,BLACK HISPANIC,1033677.625,238649.5,40.82158331300008,-73.82141724699994,POINT (-73.82141724699994 40.821583313000076)
204458415,2019-11-02,02:09:00,MANHATTAN,23,0,,False,,,,25-44,F,BLACK,998751.0,226901.0,40.78946330000008,-73.94763400399995,POINT (-73.94763400399995 40.78946330000008)
197381374,2019-05-17,21:36:00,MANHATTAN,32,2,MULTI DWELL - PUBLIC HOUS,True,<18,M,BLACK,<18,M,BLACK,999125.875,235492.90625,40.81304510900002,-73.94626118399998,POINT (-73.94626118399998 40.81304510900003)
197700947,2019-05-28,02:42:00,MANHATTAN,32,0,,False,,,,25-44,M,BLACK,1001900.0,238191.0,40.82044551200005,-73.93623234699999,POINT (-73.93623234699999 40.82044551200005)
193779318,2019-02-19,22:27:00,BROOKLYN,81,0,GROCERY/BODEGA,False,25-44,M,BLACK,45-64,M,BLACK,1005118.0,185998.0,40.67718191900008,-73.92476772999999,POINT (-73.92476772999999 40.67718191900008)
